Month/Year,Facilities,Fleet,Total
Aug 2020,4617,3946,8563
Oct 2020,4337,4140,8477
Nov 2020,4681,4017,8686
Dec 2020,6195,4319,10514
Jan 2021,6011,4192,10203
Feb 2021,5736,4170,9906
Mar 2021,4774,4106,8880
Apr 2021,4273,3978,8251
May 2021,3856,4049,7905
Jun 2021,4392,4146,8538
Jul 2021,4258,4069,8327
Sep 2021,4152,4223,8375
Oct 2021,3945,4221,8007
Nov 2021,4851,4584,9435
Dec 2021,5614,4354,9968
Jan 2022,6028,4596,10624
Mar 2022,4684,5196,9880
Apr 2022,4031,4004,8035
May 2022,4005,4727,8732
Oct 2019,4820,4183,9003
Dec 2019,6238,4976,11214
Jul 2019,5166,5133,10299
Nov 2019,5507,4838,10345
Aug 2019,5160,5237,10397
Sep 2019,4597,4742,9339
Jan 2020,6284,4983,11267
Mar 2020,4050,4154,8204
Feb 2020,5384,4486,9870
Apr 2020,3990,2410,6400
Apr 2020,3990,2433,6423
May 2020,3486,3347,6833
Jun 2020,4160,3437,7597
Jul 2020,4768,3624,8393
Jun 2022,4222,6891,11113
Jul 2022,4159,4505,8664
Aug 2022,4312,4884,9196
Sep 2022,4188,4330,8518
Oct 2022,3866,4174,8040
Nov 2022,4586,4658,9244
Dec 2022,5665,4423,10088
Jan 2023,5160,4246,9406
Feb 2023,5011,4370,9381
Mar 2023,4790,4633,9423
Apr 2023,3843,3899,7742
May 2023,4013,3976,7989
Jun 2023,3882,4528,8410
Jul 2023,4427,4465,8892
Aug 2023,4118,4807,8925
Sep 2023,3885,4076,7961
Oct 2023,4029,4619,8648
Nov 2023,4675,4523,9198
Dec 2023,7343,3803,11146
Jan 2024,5824,5070,10894
Mar 2024,4429,3491,7920
Apr 2024,3905,6013,9913
May 2024,3945,4368,8313
Jun 2024,4007,4543,8550
Jul 2024,4485,4861,9346
Aug 2024,4411,4689,9100
Sep 2024,3913,4027,7940
Oct 2024,3825,5077,8902
Nov 2024,4268,4129,8397
Dec 2024,5871,4893,10764
Jan 2025,6132,4870,11002
Feb 2025,5071,4701,9772
Mar 2025,4598,3761,8359
